[2026-03-15T19:14:51.594+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: pipeline_gps.task1_ingest scheduled__2026-03-15T17:52:00+00:00 [queued]>
[2026-03-15T19:14:51.613+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: pipeline_gps.task1_ingest scheduled__2026-03-15T17:52:00+00:00 [queued]>
[2026-03-15T19:14:51.614+0000] {taskinstance.py:2170} INFO - Starting attempt 2 of 1
[2026-03-15T19:14:51.643+0000] {taskinstance.py:2191} INFO - Executing <Task(BashOperator): task1_ingest> on 2026-03-15 17:52:00+00:00
[2026-03-15T19:14:51.655+0000] {standard_task_runner.py:60} INFO - Started process 31 to run task
[2026-03-15T19:14:51.670+0000] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'pipeline_gps', 'task1_ingest', 'scheduled__2026-03-15T17:52:00+00:00', '--job-id', '493', '--raw', '--subdir', 'DAGS_FOLDER/pipeline_gps.py', '--cfg-path', '/tmp/tmpx2s94vqi']
[2026-03-15T19:14:51.675+0000] {standard_task_runner.py:88} INFO - Job 493: Subtask task1_ingest
[2026-03-15T19:14:51.788+0000] {task_command.py:423} INFO - Running <TaskInstance: pipeline_gps.task1_ingest scheduled__2026-03-15T17:52:00+00:00 [running]> on host 693df5566a25
[2026-03-15T19:14:51.938+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='pipeline_gps' AIRFLOW_CTX_TASK_ID='task1_ingest' AIRFLOW_CTX_EXECUTION_DATE='2026-03-15T17:52:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-03-15T17:52:00+00:00'
[2026-03-15T19:14:51.941+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2026-03-15T19:14:51.943+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', '\n        export DB_HOST=postgres-postgis\n        export MQTT_HOST=mqtt-broker\n        python /opt/airflow/ingestion/mqtt_ingestor.py\n        ']
[2026-03-15T19:14:51.965+0000] {subprocess.py:86} INFO - Output:
[2026-03-15T19:16:13.968+0000] {subprocess.py:93} INFO - Conectando a PostgreSQL en: postgres-postgis
[2026-03-15T19:16:13.974+0000] {subprocess.py:93} INFO - Conectando a MQTT en: mqtt-broker
[2026-03-15T19:16:13.975+0000] {subprocess.py:93} INFO - Escuchando datos MQTT...
[2026-03-15T19:16:13.975+0000] {subprocess.py:93} INFO - Guardado en DB: {'device_id': 'camion_01', 'lat': -31.31656, 'lon': -64.31691000000001, 'speed': 83.36043115250719, 'timestamp': '2026-03-15T19:15:47.881715'}
[2026-03-15T19:16:13.975+0000] {subprocess.py:93} INFO - Guardado en DB: {'device_id': 'camion_01', 'lat': -31.21642, 'lon': -64.45052, 'speed': 60.380371102200414, 'timestamp': '2026-03-15T19:15:57.881715'}
[2026-03-15T19:16:13.976+0000] {subprocess.py:93} INFO - Guardado en DB: {'device_id': 'camion_01', 'lat': -31.11628, 'lon': -64.58413, 'speed': 41.0727391150428, 'timestamp': '2026-03-15T19:16:07.881715'}
[2026-03-15T19:16:13.976+0000] {subprocess.py:93} INFO - Guardado en DB: {'device_id': 'camion_01', 'lat': -31.01614, 'lon': -64.71774, 'speed': 77.82330874850669, 'timestamp': '2026-03-15T19:16:17.881715'}
[2026-03-15T19:16:13.977+0000] {subprocess.py:93} INFO - Guardado en DB: {'device_id': 'camion_01', 'lat': -30.916, 'lon': -64.85135, 'speed': 87.12850992806473, 'timestamp': '2026-03-15T19:16:27.881715'}
[2026-03-15T19:16:13.977+0000] {subprocess.py:93} INFO - Guardado en DB: {'device_id': 'camion_01', 'lat': -30.81586, 'lon': -64.98496, 'speed': 76.24082760386428, 'timestamp': '2026-03-15T19:16:37.881715'}
[2026-03-15T19:16:13.977+0000] {subprocess.py:93} INFO - Guardado en DB: {'device_id': 'camion_01', 'lat': -30.71572, 'lon': -65.11857, 'speed': 87.30393539762665, 'timestamp': '2026-03-15T19:16:47.881715'}
[2026-03-15T19:16:13.977+0000] {subprocess.py:93} INFO - Guardado en DB: {'device_id': 'camion_01', 'lat': -30.61558, 'lon': -65.25218000000001, 'speed': 72.69071605716368, 'timestamp': '2026-03-15T19:16:57.881715'}
[2026-03-15T19:16:13.978+0000] {subprocess.py:93} INFO - Guardado en DB: {'device_id': 'camion_01', 'lat': -30.51544, 'lon': -65.38579, 'speed': 44.555345172041214, 'timestamp': '2026-03-15T19:17:07.881715'}
[2026-03-15T19:16:13.978+0000] {subprocess.py:93} INFO - Guardado en DB: {'device_id': 'camion_01', 'lat': -30.415300000000002, 'lon': -65.5194, 'speed': 44.57798887602885, 'timestamp': '2026-03-15T19:17:17.881715'}
[2026-03-15T19:16:13.979+0000] {subprocess.py:93} INFO - Guardado en DB: {'device_id': 'camion_01', 'lat': -30.31516, 'lon': -65.65301000000001, 'speed': 66.88835880920347, 'timestamp': '2026-03-15T19:17:27.881715'}
[2026-03-15T19:16:13.979+0000] {subprocess.py:93} INFO - Guardado en DB: {'device_id': 'camion_01', 'lat': -30.21502, 'lon': -65.78662, 'speed': 79.32447388370537, 'timestamp': '2026-03-15T19:17:37.881715'}
[2026-03-15T19:16:13.980+0000] {subprocess.py:93} INFO - Guardado en DB: {'device_id': 'camion_01', 'lat': -30.11488, 'lon': -65.92023, 'speed': 80.898109219715, 'timestamp': '2026-03-15T19:17:47.881715'}
